outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"C2i1 B4f";B4f;"Savoir présenter différents types de données dans un tableau et le mettre en forme avec un tableur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B4g";B4g;"Savoir écrire et recopier des formules arithmétiques dans un tableur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B4h";B4h;"Savoir écrire des formules impliquant des plages de cellule (somme, moyenne) dans un tableur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B4i";B4i;"Savoir générer un graphique pertinent à partir d'une ou plusieurs séries de données dans un tableur";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B4j";B4j;"Savoir créer des schémas contenant formes, textes et connecteurs, grouper et disposer les objets";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B5a";B5a;"Savoir utiliser le masque pour définir l'apparence globale d'un diaporama";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B5b";B5b;"Savoir distinguer et utiliser animations et transitions dans un diaporama";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B5c";B5c;"Savoir utiliser les différents modes d'un logiciel de présentation";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B5d";B5d;"Savoir insérer des liens hypertexte dans une page web";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B5e";B5e;"Savoir insérer des images dans une page web";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B6a";B6a;"Savoir utiliser un client de messagerie électronique et/ou un webmail";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B6b";B6b;"Savoir filtrer le courrier électronique selon sa provenance et gérer les courriers indésirables";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B6c";B6c;"Savoir gérer ses abonnements à des listes de diffusion";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B6d";B6d;"Savoir créer ou contribuer à une discussion dans un forum";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B6e";B6e;"Savoir utiliser un outil de messagerie instantanée";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B7a";B7a;"Savoir participer à l'élaboration collective d'un document tel que wiki ou glossaire";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B7b";B7b;"Savoir déposer un document dans une plate-forme pédagogique";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B7c";B7c;"Savoir assurer le suivi des corrections d'un document partagé";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B7d";B7d;"Savoir coopérer avec un groupe de travail en utilisant différents modes de communication";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
"C2i1 B7e";B7e;"Savoir gérer différentes versions d'un même document";"Item référentiel";"Non pertinent,Non validé,Validé";"Ce barème est destiné à évaluer l'acquisition des compétences du module référentiel."
