#Moodle Referentiel CSV Export;latin1;Admin ADMIN;;;;;;;
#code;nom_referentiel;description;url;timecreated;nb_domaines;certificatethreshold;liste_codes_competences;liste_empreintes;logo
B6a;Savoir utiliser un client de messagerie électronique et/ou un webmail;;1;1;1
B6b;Savoir filtrer le courrier électronique selon sa provenance et gérer les courriers indésirables;;1;2;1
B6c;Savoir gérer les abonnements à des listes de diffusion;;1;3;1
B6d;Savoir créer ou contribuer à une discussion dans un forum;;1;4;1
B6e;Savoir utiliser un outil de messagerie instantanée;;1;5;1
#code;description;sortorder;nb_item_competences;;
B7;Mener des projets en travail collaboratif à distance;7;5;;
#code;description;type;weight;sortorder;footprint
B7a;Savoir participer à l élaboration collective d un document tel que wiki ou glossaire;;1;1;1
B7b;Savoir déposer un document dans une plate-forme pédagogique;;1;2;1
B7c;Savoir assurer le suivi des corrections d un document partagé;;1;3;1
B7d;Savoir coopérer avec un groupe de travail en utilisant différents modes de communication;;1;4;1
B7e;Savoir gérer différentes versions d un même document;;1;5;1
